Skip this line
Skip this line too  
Skip this third line
name,main_category,sub_category,description,actual_price,ratings
Wireless Bluetooth Headphones,Electronics,Audio,Premium noise-cancelling wireless headphones with 30-hour battery life,₹2999,4.5
Leather Wallet,Fashion,Accessories,Genuine leather bi-fold wallet with RFID protection,₹899,4.2
Coffee Mug Set,Home & Kitchen,Drinkware,Set of 4 ceramic coffee mugs with beautiful designs,₹599,4.0
Fitness Tracker,Electronics,Wearables,Smart fitness tracker with heart rate monitor and sleep tracking,₹1999,4.3
Scented Candles,Home & Kitchen,Decor,Set of 3 aromatherapy candles with relaxing lavender scent,₹799,4.1
Gaming Mouse,Electronics,Computer Accessories,High-precision gaming mouse with RGB lighting,₹1299,4.4
Silk Scarf,Fashion,Accessories,Elegant silk scarf with floral patterns,₹1199,4.0
Recipe Book,Books,Cooking,Comprehensive cookbook with 200+ easy recipes,₹499,4.2
Yoga Mat,Sports,Fitness,Non-slip yoga mat with carrying strap,₹899,4.3
Smartphone Case,Electronics,Mobile Accessories,Protective case with wireless charging support,₹699,4.1
